pais,cbi_paises,gasto,inflacao,pib,polcon,pibvar,pclow,pchigh,pcmed,rendabaixa,rendaalta,rendamedia
Paraguay,0.6171200275421143,15.704102901430147,3.6759189797449,5185.141548712791,7,-0.7080431123168864,0,1,0,0,0,1
Peru,0.7977499961853027,17.917788498232326,3.61121294940174,6528.971775312798,7,6.139724705604351,0,1,0,0,0,1
Philippines,0.6340000033378601,13.545481374910937,3.02696391124798,2694.305109336508,6,6.896951710574811,0,1,0,0,0,1
Poland,0.875249981880188,35.02890771582847,3.56037151702788,13097.27084821743,7,1.3248963047335138,0,1,0,0,1,0
Portugal,0.8565000295639038,44.19802044817948,2.77333854051579,20563.713601262887,7,-4.0572936076956125,0,1,0,0,1,0
Romania,0.8462200164794922,33.51061196274209,3.33492267693443,8507.104774564363,7,2.040665130797322,0,1,0,0,0,1
Russian Federation,0.6999300122261047,24.195855126175786,5.0747430079915,15420.8745413273,4,4.024086157209794,0,0,1,0,1,0
Saudi Arabia,0.5522099733352661,25.846177334095522,2.86626887489922,25243.60199823659,1,5.411444902164348,1,0,0,0,1,0
Serbia,0.8110499978065491,36.89340259107348,7.33038589596636,6015.945227569691,7,-0.6815423693347498,0,1,0,0,0,1
Singapore,0.5115000009536743,12.383962383108194,4.57560270376522,55546.488538692116,3,4.461608951013332,0,0,1,0,1,0
Slovakia,0.8565000295639038,39.32401322972784,3.60610263522886,17429.829750132005,7,1.358226805855736,0,1,0,0,1,0
Slovenia,0.8565000295639038,43.35482049730574,2.5974138603901,22641.805122502992,7,-2.639438756766893,0,1,0,0,1,0
Solomon Islands,0.7447500228881836,25.170212866505594,5.91200602491156,2141.8215222730882,7,1.8604651162790589,0,1,0,0,0,1
South Africa,0.36515000462532043,30.182740797547318,5.72465791678303,8222.19727925886,7,2.396232384657452,0,1,0,0,0,1
Sri Lanka,0.6054999828338623,15.51154528334924,7.54291373239436,3350.5218758928913,4,9.144572246425668,0,0,1,0,0,1
Sweden,0.2944999933242798,32.75885192058104,0.8883775069237,58037.82131921726,7,-0.5883045689907362,0,1,0,0,1,0
Switzerland,0.7670300006866455,16.384440285035737,-0.692552018105236,86547.67089072654,7,1.217193656840891,0,1,0,0,1,0
Tanzania,0.5872499942779541,14.017907635241974,16.0010938506338,867.857498923481,3,4.500153559821257,0,0,1,1,0,0
Thailand,0.3815000057220459,18.621619617438526,3.01489950334988,5860.581470534748,6,7.242796202496422,0,1,0,0,0,1
Togo,0.8015000224113464,17.494790227902467,2.57718174055852,571.8067239441666,3,6.543507029266067,0,0,1,1,0,0
Trinidad and Tobago,0.44387999176979065,30.055865719432624,9.26028137068287,19157.45977287945,7,1.2699643652024122,0,1,0,0,1,0
Turkey,0.8989999890327454,29.58029220935971,8.89156996512164,11795.633456757056,7,4.788492711080082,0,1,0,0,0,1
Ukraine,0.8992499709129333,39.53797419772243,0.568727971803899,4004.8043959692,5,0.1523149651120832,0,0,1,0,0,1
United Arab Emirates,0.515500009059906,4.248407455499228,0.662268900269082,40976.49074640153,3,4.483791984603229,0,0,1,0,1,0
United Kingdom,0.701170027256012,42.147029520348795,2.57323479654528,42686.800052492596,7,1.4698875207586752,0,1,0,0,1,0
United States of America,0.4803900122642517,23.99977857786178,2.06933726526059,51602.9310457907,7,2.2495458523884793,0,1,0,0,1,0
Uruguay,0.6259899735450745,30.512326362116355,8.09776580573602,15171.580173422677,7,3.5381787065877006,0,1,0,0,1,0
Zambia,0.49399998784065247,16.532241660907623,6.57589970757695,1763.0694424990347,5,7.597593210531912,0,0,1,0,0,1
Zimbabwe,0.46386998891830444,20.211825521180877,3.72532666110647,1304.9680106569892,3,16.665428768467862,0,0,1,0,0,1
